Date,Actual,Expected,Anomaly_Score,Note
2025-05-10,9962,8686.514430588943,0.14683514079243634,
2025-05-11,10425,8760.282782451923,0.19003007766858163,
2025-05-17,10327,8466.329860276443,0.21977293236042222,
2025-05-18,10102,8556.059149639423,0.18068374976413384,
2025-06-16,8150,10495.77520282452,-0.2234970888280122,
2025-06-17,7857,10219.203155048075,-0.2311533609037996,
2025-07-01,8111,10240.589873798075,-0.2079557818487504,
2025-07-05,10791,8482.324977463943,0.27217479036346803,
2025-07-07,8319,10517.16143329327,-0.20900710208124595,
2025-07-14,8273,10514.56280048077,-0.21318649600706896,
